"Passengers (All Carriers - Buffalo, NY: Buffalo Niagara International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"182,491",,"182,491"
2002,11,"153,844",0,"153,844"
2002,12,"159,958",0,"159,958"
2002,TOTAL,"1,863,736",242,"1,863,978"
2003,1,"133,718",,"133,718"
2003,2,"134,805",,"134,805"
2003,3,"155,532",,"155,532"
2003,4,"168,680",6,"168,686"
2003,5,"169,676",3,"169,679"
2003,6,"164,517",,"164,517"
2003,7,"205,812",,"205,812"
2003,8,"205,192",,"205,192"
2003,9,"164,829",,"164,829"
2003,10,"185,346",,"185,346"
2003,11,"160,285",,"160,285"
2003,12,"161,973",1,"161,974"
2003,TOTAL,"2,010,365",10,"2,010,375"
2004,1,"137,737",,"137,737"
2004,2,"150,361",,"150,361"
2004,3,"174,529",,"174,529"
2004,4,"185,791",0,"185,791"
2004,5,"186,255",48,"186,303"
2004,6,"184,645",26,"184,671"
2004,7,"215,133",73,"215,206"
2004,8,"222,027",117,"222,144"
2004,9,"174,460",1,"174,461"
2004,10,"198,061",0,"198,061"
2004,11,"177,738",2,"177,740"
2004,12,"172,454",9,"172,463"
2004,TOTAL,"2,179,191",276,"2,179,467"
2005,1,"155,136",198,"155,334"
2005,2,"166,170",185,"166,355"
2005,3,"210,378",413,"210,791"
2005,4,"191,759",443,"192,202"
2005,5,"209,167",67,"209,234"
2005,6,"205,494",40,"205,534"
2005,7,"243,198",84,"243,282"
2005,8,"241,831",68,"241,899"
2005,9,"197,938",9,"197,947"
2005,10,"210,394",16,"210,410"
2005,11,"191,002",65,"191,067"
2005,12,"186,421",46,"186,467"
2005,TOTAL,"2,408,888","1,634","2,410,522"
2006,1,"171,330",45,"171,375"
2006,2,"172,345",334,"172,679"
2006,3,"203,439",332,"203,771"
2006,4,"207,343",176,"207,519"
2006,5,"218,606",11,"218,617"
2006,6,"211,132",4,"211,136"
2006,7,"249,384",2,"249,386"
2006,8,"256,050",8,"256,058"
2006,9,"200,122",13,"200,135"
2006,10,"211,732",11,"211,743"
2006,11,"203,583",84,"203,667"
2006,12,"193,983",161,"194,144"
2006,TOTAL,"2,499,049","1,181","2,500,230"
2007,1,"184,659",103,"184,762"
2007,2,"178,567",211,"178,778"
2007,3,"216,029",278,"216,307"
2007,4,"221,202",408,"221,610"
2007,5,"239,146",82,"239,228"
2007,6,"229,718",12,"229,730"
2007,7,"256,950",72,"257,022"
2007,8,"267,742",124,"267,866"
2007,9,"216,040",62,"216,102"
2007,10,"241,485",158,"241,643"
2007,11,"211,512",82,"211,594"
2007,12,"201,252",178,"201,430"
2007,TOTAL,"2,664,302","1,770","2,666,072"
2008,1,"190,451",97,"190,548"
2008,2,"202,871",299,"203,170"
2008,3,"225,289",309,"225,598"
2008,4,"233,892",251,"234,143"
2008,5,"248,830",149,"248,979"
2008,6,"236,344",132,"236,476"
2008,7,"274,237",190,"274,427"
2008,8,"280,302",291,"280,593"
2008,9,"212,545",45,"212,590"
2008,10,"235,133",124,"235,257"
2008,11,"197,331",212,"197,543"
2008,12,"195,762",153,"195,915"
2008,TOTAL,"2,732,987","2,252","2,735,239"
2009,1,"173,565",165,"173,730"
2009,2,"186,132",181,"186,313"
2009,3,"220,647",236,"220,883"
2009,4,"225,851",189,"226,040"
2009,5,"233,171",41,"233,212"
2009,6,"220,124",69,"220,193"
2009,7,"267,188",137,"267,325"
2009,8,"276,136",154,"276,290"
2009,9,"220,418",20,"220,438"
2009,10,"230,698",17,"230,715"
2009,11,"198,927",112,"199,039"
2009,12,"193,562",166,"193,728"
2009,TOTAL,"2,646,419","1,487","2,647,906"
2010,1,"173,209",153,"173,362"
2010,2,"176,943",107,"177,050"
2010,3,"214,468",49,"214,517"
2010,4,"228,302",48,"228,350"
2010,5,"228,872",40,"228,912"
2010,6,"212,925",7,"212,932"
2010,7,"251,981",29,"252,010"
2010,8,"258,806",29,"258,835"
2010,9,"216,060",3,"216,063"
2010,10,"235,080",,"235,080"
2010,11,"204,785",12,"204,797"
2010,12,"189,724",24,"189,748"
2010,TOTAL,"2,591,155",501,"2,591,656"
2011,1,"167,947",14,"167,961"
2011,2,"176,294",,"176,294"
2011,3,"216,835",,"216,835"
2011,4,"224,159",71,"224,230"
2011,5,"237,213",57,"237,270"
2011,6,"218,448",60,"218,508"
2011,7,"252,719",62,"252,781"
2011,8,"250,966",93,"251,059"
2011,9,"210,761",14,"210,775"
2011,10,"226,634",34,"226,668"
2011,11,"199,177",7,"199,184"
2011,12,"190,383",21,"190,404"
2011,TOTAL,"2,571,536",433,"2,571,969"
2012,1,"164,167",73,"164,240"
2012,2,"180,809",98,"180,907"
2012,3,"215,524",9,"215,533"
2012,4,"217,866",42,"217,908"
2012,5,"234,921",22,"234,943"
2012,6,"223,596",56,"223,652"
2012,7,"254,927",51,"254,978"
2012,8,"262,022",45,"262,067"
2012,9,"209,346",,"209,346"
2012,10,"222,860",,"222,860"
2012,11,"201,877",4,"201,881"
2012,12,"192,962",,"192,962"
2012,TOTAL,"2,580,877",400,"2,581,277"
2013,1,"173,842",0,"173,842"
2013,2,"181,872",34,"181,906"
2013,3,"230,714",,"230,714"
2013,4,"209,422",22,"209,444"
2013,5,"230,296",7,"230,303"
2013,6,"220,564",83,"220,647"
2013,7,"243,450",7,"243,457"
2013,8,"256,170",,"256,170"
2013,9,"203,885",0,"203,885"
2013,10,"225,408",6,"225,414"
2013,11,"185,417",34,"185,451"
2013,12,"194,266",33,"194,299"
2013,TOTAL,"2,555,306",226,"2,555,532"
2014,1,"150,216",50,"150,266"
2014,2,"165,618",53,"165,671"
2014,3,"204,953",20,"204,973"
2014,4,"207,877",19,"207,896"
2014,5,"221,291",17,"221,308"
2014,6,"196,878",6,"196,884"
2014,7,"227,317",47,"227,364"
2014,8,"235,194",25,"235,219"
2014,9,"199,777",59,"199,836"
2014,10,"211,390",12,"211,402"
2014,11,"165,495",139,"165,634"
2014,12,"180,796",1,"180,797"
2014,TOTAL,"2,366,802",448,"2,367,250"
2015,1,"153,593",456,"154,049"
2015,2,"154,156",11,"154,167"
2015,3,"208,010","1,337","209,347"
2015,4,"194,451",68,"194,519"
2015,5,"215,063",18,"215,081"
2015,6,"198,368",1,"198,369"
2015,7,"225,313",63,"225,376"
2015,8,"229,240",4,"229,244"
2015,9,"194,766",77,"194,843"
2015,10,"206,947",9,"206,956"
2015,11,"174,942",14,"174,956"
2015,12,"166,507",37,"166,544"
2015,TOTAL,"2,321,356","2,095","2,323,451"
2016,1,"149,155",19,"149,174"
2016,2,"151,736",36,"151,772"
2016,3,"198,959",68,"199,027"
2016,4,"180,976",36,"181,012"
2016,5,"212,534",29,"212,563"
2016,6,"203,987",42,"204,029"
2016,7,"225,308",54,"225,362"
2016,8,"224,303",140,"224,443"
2016,9,"196,609",6,"196,615"
2016,10,"207,439",0,"207,439"
2016,11,"179,417",2,"179,419"
2016,12,"173,145",,"173,145"
2016,TOTAL,"2,303,568",432,"2,304,000"
2017,1,"156,085",7,"156,092"
2017,2,"154,564",13,"154,577"
2017,3,"190,326",,"190,326"
2017,4,"199,474",14,"199,488"
2017,5,"207,515",,"207,515"
2017,6,"202,902",15,"202,917"
2017,7,"222,788",44,"222,832"
2017,8,"228,294",13,"228,307"
2017,9,"193,745",0,"193,745"
2017,10,"210,558",0,"210,558"
2017,11,"187,045",,"187,045"
2017,12,"183,339",49,"183,388"
2017,TOTAL,"2,336,635",155,"2,336,790"
2018,1,"162,591",37,"162,628"
2018,2,"163,745",,"163,745"
2018,3,"214,577",,"214,577"
2018,4,"200,740",,"200,740"
2018,5,"224,977",,
2018,6,"222,349",,
2018,7,"246,207",,
2018,TOTAL,"1,435,186",37,"741,690"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
